time,month,sst,year
2007-01-01,1,0.7471379,2007
2007-02-01,2,0.34858355,2007
2007-03-01,3,0.08739732,2007
2007-04-01,4,-0.05775299,2007
2007-05-01,5,-0.051046357,2007
2007-06-01,6,-0.1699882,2007
2007-07-01,7,-0.24977985,2007
2007-08-01,8,-0.54663444,2007
2007-09-01,9,-0.819059,2007
2007-10-01,10,-1.0705737,2007
2007-11-01,11,-1.1626738,2007
2007-12-01,12,-1.305445,2007
2008-01-01,1,-1.3679736,2008
2008-02-01,2,-1.2704844,2008
2008-03-01,3,-0.9843979,2008
2008-04-01,4,-0.6733556,2008
2008-05-01,5,-0.5495209,2008
2008-06-01,6,-0.36173797,2008
2008-07-01,7,-0.17966491,2008
2008-08-01,8,-0.09371512,2008
2008-09-01,9,-0.08346808,2008
2008-10-01,10,-0.14445639,2008
2008-11-01,11,-0.3282846,2008
2008-12-01,12,-0.54408395,2008
2009-01-01,1,-0.66492486,2009
2009-02-01,2,-0.5892493,2009
2009-03-01,3,-0.3426051,2009
2009-04-01,4,-0.047759533,2009
2009-05-01,5,0.334447,2009
2009-06-01,6,0.5631825,2009
2009-07-01,7,0.70701694,2009
2009-08-01,8,0.7610027,2009
2009-09-01,9,0.8778037,2009
2009-10-01,10,1.1675074,2009
2009-11-01,11,1.5108166,2009
2009-12-01,12,1.7157501,2009
2010-01-01,1,1.5942342,2010
2010-02-01,2,1.4143019,2010
2010-03-01,3,1.124247,2010
2010-04-01,4,0.7044045,2010
2010-05-01,5,0.14728257,2010
2010-06-01,6,-0.3870967,2010
2010-07-01,7,-0.7867746,2010
2010-08-01,8,-1.0873454,2010
2010-09-01,9,-1.2524767,2010
2010-10-01,10,-1.2871673,2010
2010-11-01,11,-1.2287028,2010
2010-12-01,12,-1.2620968,2010
2011-01-01,1,-1.2144796,2011
2011-02-01,2,-1.0792598,2011
2011-03-01,3,-0.8008772,2011
2011-04-01,4,-0.49621725,2011
2011-05-01,5,-0.29221892,2011
2011-06-01,6,-0.110729024,2011
2011-07-01,7,-0.14994967,2011
2011-08-01,8,-0.32341835,2011
2011-09-01,9,-0.514753,2011
2011-10-01,10,-0.6782055,2011
2011-11-01,11,-0.769578,2011
2011-12-01,12,-0.78288186,2011
2012-01-01,1,-0.6702907,2012
2012-02-01,2,-0.48058796,2012
2012-03-01,3,-0.38271233,2012
2012-04-01,4,-0.2294124,2012
2012-05-01,5,0.033701025,2012
2012-06-01,6,0.29568237,2012
2012-07-01,7,0.5700313,2012
2012-08-01,8,0.58248925,2012
2012-09-01,9,0.59809065,2012
2012-10-01,10,0.5614884,2012
2012-11-01,11,0.260475,2012
2012-12-01,12,-0.04196791,2012
2013-01-01,1,-0.4196131,2013
2013-02-01,2,-0.31484282,2013
2013-03-01,3,-0.072829984,2013
2013-04-01,4,0.02142809,2013
2013-05-01,5,-0.000101057194,2013
2013-06-01,6,-0.13962594,2013
2013-07-01,7,-0.2238718,2013
2013-08-01,8,-0.13769183,2013
2013-09-01,9,-0.11384066,2013
2013-10-01,10,0.05565083,2013
2013-11-01,11,-0.011464765,2013
2013-12-01,12,-0.1417462,2013
2014-01-01,1,-0.4479711,2014
2014-02-01,2,-0.49656367,2014
2014-03-01,3,-0.22660968,2014
2014-04-01,4,0.26115978,2014
2014-05-01,5,0.5683156,2014
2014-06-01,6,0.47333068,2014
2014-07-01,7,0.27842313,2014
2014-08-01,8,0.17649631,2014
2014-09-01,9,0.3331706,2014
2014-10-01,10,0.6293248,2014
2014-11-01,11,0.74730897,2014
2014-12-01,12,0.75697994,2014
2015-01-01,1,0.71516097,2015
2015-02-01,2,0.6592011,2015
2015-03-01,3,0.8039236,2015
2015-04-01,4,0.8726387,2015
2015-05-01,5,1.1061214,2015
2015-06-01,6,1.2496836,2015
2015-07-01,7,1.5059093,2015
2015-08-01,8,1.7191601,2015
2015-09-01,9,2.0348191,2015
2015-10-01,10,2.4352393,2015
2015-11-01,11,2.6537547,2015
2015-12-01,12,2.7307343,2015
2016-01-01,1,2.5238237,2016
2016-02-01,2,2.2598505,2016
2016-03-01,3,1.7698107,2016
2016-04-01,4,1.1063181,2016
2016-05-01,5,0.5670501,2016
2016-06-01,6,0.06723233,2016
2016-07-01,7,-0.20973966,2016
2016-08-01,8,-0.39591247,2016
2016-09-01,9,-0.48819694,2016
2016-10-01,10,-0.5029799,2016
2016-11-01,11,-0.45543262,2016
2016-12-01,12,-0.31885338,2016
2017-01-01,1,-0.101803645,2017
2017-02-01,2,0.08901193,2017
2017-03-01,3,0.33180323,2017
2017-04-01,4,0.47101307,2017
2017-05-01,5,0.5616812,2017
2017-06-01,6,0.5267228,2017
2017-07-01,7,0.33511242,2017
2017-08-01,8,0.049417257,2017
2017-09-01,9,-0.18163352,2017
2017-10-01,10,-0.44023225,2017
2017-11-01,11,-0.63822526,2017
2017-12-01,12,-0.7603893,2017
2018-01-01,1,-0.71450657,2018
2018-02-01,2,-0.6410944,2018
2018-03-01,3,-0.5448625,2018
2018-04-01,4,-0.31839782,2018
2018-05-01,5,0.018770477,2018
2018-06-01,6,0.2607235,2018
2018-07-01,7,0.36923513,2018
2018-08-01,8,0.38003933,2018
2018-09-01,9,0.5921552,2018
2018-10-01,10,0.824909,2018
2018-11-01,11,1.0327314,2018
2018-12-01,12,0.9531069,2018
2019-01-01,1,0.8601506,2019
2019-02-01,2,0.8975295,2019
2019-03-01,3,0.9457132,2019
2019-04-01,4,0.991301,2019
2019-05-01,5,0.8837573,2019
2019-06-01,6,0.7705598,2019
2019-07-01,7,0.5391588,2019
2019-08-01,8,0.2834342,2019
2019-09-01,9,0.30991942,2019
2019-10-01,10,0.44802284,2019
2019-11-01,11,0.60845876,2019
2019-12-01,12,0.5940666,2019
2020-01-01,1,0.5180676,2020
2020-02-01,2,0.5453559,2020
2020-03-01,3,0.53805447,2020
2020-04-01,4,0.37044507,2020
2020-05-01,5,0.1359931,2020
2020-06-01,6,-0.065386236,2020
2020-07-01,7,-0.19704768,2020
2020-08-01,8,-0.3664707,2020
2020-09-01,9,-0.7100315,2020
2020-10-01,10,-0.908216,2020
2020-11-01,11,-1.011071,2020
2020-12-01,12,-0.9427337,2020
2021-01-01,1,-0.8563632,2021
2021-02-01,2,-0.69328874,2021
2021-03-01,3,-0.5468073,2021
2021-04-01,4,-0.32621124,2021
2021-05-01,5,-0.12659061,2021
2021-06-01,6,-0.0085313525,2021
2021-07-01,7,-0.026835551,2021
2021-08-01,8,-0.15446527,2021
2021-09-01,9,-0.3647159,2021
2021-10-01,10,-0.5256972,2021
2021-11-01,11,-0.7766225,2021
2021-12-01,12,-0.8031219,2021
2022-01-01,1,-0.78981626,2022
2022-02-01,2,-0.72602785,2022
2022-03-01,3,-0.74418926,2022
2022-04-01,4,-0.82710505,2022
2022-05-01,5,-0.7237832,2022
2022-06-01,6,-0.61832774,2022
2022-07-01,7,-0.6170102,2022
2022-08-01,8,-0.7533445,2022
2022-09-01,9,-0.82729596,2022
2022-10-01,10,-0.7837236,2022
2022-11-01,11,-0.7418987,2022
2022-12-01,12,-0.7041294,2022
2023-01-01,1,-0.5814846,2023
2023-02-01,2,-0.29709744,2023
2023-03-01,3,,2023
