time,month_x,sst,year_x,ElNiño,LaNiña,Neutral,year_y,month_y,precipitation,max_temp,min_temp
1989-01-01,1,-1.7843641,1989,,-1.7843641,,1989,1,0.3064516129032258,33.87419354838709,21.74516129032258
1989-02-01,2,-1.5827923,1989,,-1.5827923,,1989,2,2.4346153846153844,33.4,23.319230769230767
1989-05-01,5,-0.8022165,1989,,-0.8022165,,1989,5,0.0,29.52692307692308,16.803846153846152
1989-06-01,6,-0.54838014,1989,,-0.54838014,,1989,6,0.0,28.336666666666666,17.81
1989-07-01,7,-0.506088,1989,,-0.506088,,1989,7,0.0,27.26774193548387,16.135483870967743
1989-08-01,8,-0.4938457,1989,,,-0.4938457,1989,8,0.0,27.967741935483872,16.825806451612905
1989-09-01,9,-0.5000876,1989,,-0.5000876,,1989,9,0.013333333333333334,28.663333333333334,16.573333333333334
1989-10-01,10,-0.43929195,1989,,,-0.43929195,1989,10,0.13870967741935483,30.216129032258067,17.774193548387096
1989-11-01,11,-0.32079518,1989,,,-0.32079518,1989,11,0.0,31.113333333333333,17.113333333333333
1989-12-01,12,-0.17902827,1989,,,-0.17902827,1989,12,0.0,31.729032258064517,17.403225806451612
1990-01-01,1,-0.0017523568,1990,,,-0.0017523568,1990,1,0.0032258064516129032,33.41290322580645,20.906451612903226
1990-02-01,2,0.009582299,1990,,,0.009582299,1990,2,0.03461538461538461,33.48846153846154,22.146153846153844
1990-03-01,3,0.052807212,1990,,,0.052807212,1990,3,0.04516129032258064,34.57419354838709,22.09032258064516
1990-04-01,4,0.09530279,1990,,,0.09530279,1990,4,0.03793103448275863,33.172413793103445,21.03103448275862
1990-05-01,5,0.08745327,1990,,,0.08745327,1990,5,0.0,31.106451612903225,20.38064516129032
1990-06-01,6,0.09429473,1990,,,0.09429473,1990,6,0.0033333333333333335,28.916666666666668,18.543333333333333
1990-07-01,7,0.08550968,1990,,,0.08550968,1990,7,0.0,26.280645161290323,17.151612903225807
1990-08-01,8,0.11829041,1990,,,0.11829041,1990,8,0.0,27.15806451612903,16.574193548387097
1990-09-01,9,0.1749492,1990,,,0.1749492,1990,9,0.0,28.85,16.856666666666666
1990-10-01,10,0.1385843,1990,,,0.1385843,1990,10,0.041935483870967745,29.85483870967742,17.429032258064513
1990-11-01,11,0.23920962,1990,,,0.23920962,1990,11,0.0,30.956666666666667,17.77
1990-12-01,12,0.2813549,1990,,,0.2813549,1990,12,0.1390322580645161,31.812903225806455,18.57741935483871
1991-01-01,1,0.32789534,1991,,,0.32789534,1991,1,0.1064516129032258,33.622580645161285,20.677419354838708
1991-02-01,2,0.23455516,1991,,,0.23455516,1991,2,0.21071428571428572,34.78928571428572,22.696428571428573
1991-03-01,3,0.17841229,1991,,,0.17841229,1991,3,0.867741935483871,34.79354838709677,22.980645161290322
1991-04-01,4,0.24736911,1991,,,0.24736911,1991,4,0.0,33.8111111111111,20.700000000000003
1991-05-01,5,0.4332474,1991,,,0.4332474,1991,5,0.0,32.45483870967742,20.403225806451612
1991-06-01,6,0.5543847,1991,0.5543847,,,1991,6,0.006666666666666667,29.533333333333335,18.17
1991-07-01,7,0.64750373,1991,0.64750373,,,1991,7,0.0,27.690322580645162,16.080645161290324
1991-08-01,8,0.5672621,1991,0.5672621,,,1991,8,0.0,27.766666666666666,16.143333333333334
1991-09-01,9,0.61513066,1991,0.61513066,,,1991,9,0.0,29.07,17.066666666666666
1991-10-01,10,0.7449124,1991,0.7449124,,,1991,10,0.0,29.74516129032258,16.980645161290322
1991-11-01,11,1.1763752,1991,1.1763752,,,1991,11,0.006666666666666667,30.64,17.63
1991-12-01,12,1.52889,1991,1.52889,,,1991,12,0.15806451612903227,31.438709677419357,21.116129032258065
1992-01-01,1,1.7277644,1992,1.7277644,,,1992,1,0.28387096774193543,33.354838709677416,23.200000000000003
1992-02-01,2,1.6221895,1992,1.6221895,,,1992,2,1.4655172413793103,33.46551724137931,23.396551724137932
1992-03-01,3,1.4187737,1992,1.4187737,,,1992,3,6.979310344827587,32.99310344827586,23.824137931034482
1992-04-01,4,1.2213445,1992,1.2213445,,,1992,4,7.693333333333333,31.43,23.043333333333333
1992-05-01,5,0.9746481,1992,0.9746481,,,1992,5,0.16153846153846155,31.53076923076923,21.576923076923077
1992-06-01,6,0.6633007,1992,0.6633007,,,1992,6,0.04666666666666667,29.11,18.426666666666666
1992-07-01,7,0.292762,1992,,,0.292762,1992,7,0.0,28.215384615384615,16.173076923076923
1992-08-01,8,0.055261217,1992,,,0.055261217,1992,8,0.0,28.283870967741933,16.387096774193548
1992-09-01,9,-0.17649508,1992,,,-0.17649508,1992,9,0.0,28.873076923076926,16.973076923076924
1992-12-01,12,0.16214159,1992,,,0.16214159,1992,12,0.010344827586206898,32.148275862068964,17.96896551724138
1993-06-01,6,0.5174871,1993,0.5174871,,,1993,6,0.0071428571428571435,30.625,20.053571428571427
1993-07-01,7,0.24596487,1993,,,0.24596487,1993,7,0.03225806451612903,30.032258064516128,18.583870967741937
1993-10-01,10,0.27967408,1993,,,0.27967408,1993,10,0.029032258064516127,32.274193548387096,17.870967741935484
1993-11-01,11,0.24565968,1993,,,0.24565968,1993,11,0.0,32.11666666666667,17.83
