,"('Adj Close', '^SPBLPGPT')","('Close', '^SPBLPGPT')","('High', '^SPBLPGPT')","('Low', '^SPBLPGPT')","('Open', '^SPBLPGPT')","('Volume', '^SPBLPGPT')",index
2001-06-30,1347.0,1347.0,1347.3499755859375,1341.510009765625,1341.510009765625,0.0,
2001-07-31,1331.6800537109375,1331.6800537109375,1331.97998046875,1320.6500244140625,1322.52001953125,0.0,
2001-08-31,1334.7099609375,1334.7099609375,1341.81005859375,1333.1700439453125,1338.6300048828125,0.0,
2001-09-30,1217.949951171875,1217.949951171875,1221.199951171875,1212.9100341796875,1212.9100341796875,0.0,
2001-10-31,1139.3299560546875,1139.3299560546875,1149.300048828125,1132.199951171875,1145.93994140625,0.0,
2001-11-30,1167.4599609375,1167.4599609375,1173.68994140625,1167.4599609375,1171.9200439453125,0.0,
2001-12-31,1176.449951171875,1176.449951171875,1177.0400390625,1162.93994140625,1162.93994140625,0.0,
2002-01-31,1274.280029296875,1274.280029296875,1278.0,1267.5400390625,1267.5799560546875,0.0,
2002-02-28,1285.52001953125,1285.52001953125,1295.3499755859375,1285.52001953125,1285.68994140625,0.0,
2002-03-31,1299.760009765625,1299.760009765625,1306.8199462890625,1299.0799560546875,1305.8399658203125,0.0,
2002-04-30,1258.3499755859375,1258.3499755859375,1259.3900146484375,1252.989990234375,1258.4200439453125,0.0,
2002-05-31,1240.5899658203125,1240.5899658203125,1244.800048828125,1239.1400146484375,1239.8499755859375,0.0,
2002-06-30,1134.9300537109375,1134.9300537109375,1141.22998046875,1133.050048828125,1137.3199462890625,0.0,
2002-07-31,1169.550048828125,1169.550048828125,1196.6099853515625,1169.050048828125,1180.6500244140625,0.0,
2002-08-31,1195.3699951171875,1195.3699951171875,1199.1800537109375,1190.3199462890625,1190.3199462890625,0.0,
2002-09-30,1150.0699462890625,1150.0699462890625,1154.25,1141.52001953125,1150.2900390625,0.0,
2002-10-31,1232.9200439453125,1232.9200439453125,1232.9200439453125,1212.6199951171875,1214.8499755859375,0.0,
2002-11-30,1373.030029296875,1373.030029296875,1373.1600341796875,1354.4000244140625,1363.1600341796875,0.0,
2002-12-31,1391.969970703125,1391.969970703125,1396.1300048828125,1387.510009765625,1394.510009765625,0.0,
2003-01-31,1517.4000244140625,1517.4000244140625,1529.969970703125,1515.6199951171875,1529.969970703125,0.0,
2003-02-28,1556.31005859375,1556.31005859375,1556.8900146484375,1541.8900146484375,1542.1400146484375,0.0,
2003-03-31,1558.9000244140625,1558.9000244140625,1558.9300537109375,1549.7099609375,1550.93994140625,0.0,
